Code,UFMC
090-002,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В СТ. ЗЕЛЕНЧУКСКОЙ
090-003,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В Г. КАРАЧАЕВСКЕ
090-004,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В КАРАЧАЕВСКОМ РАЙОНЕ
090-005,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В МАЛОКАРАЧАЕВСКОМ РАЙОНЕ
090-006,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В ПРИКУБАНСКОМ РАЙОНЕ
090-007,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В АДЫГЕ-ХАБЛЬСКОМ РАЙОНЕ
090-008,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В УРУПСКОМ РАЙОНЕ
090-009,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В УСТЬ-ДЖЕГУТИНСКОМ РАЙОНЕ
090-010,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В ХАБЕЗСКОМ РАЙОНЕ
090-011,ПАСПОРТНО-ВИЗОВЫМ ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
090-012,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В АБАЗИНСКОМ РАЙОНЕ
090-013,ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП. В НОГАЙСКОМ РАЙОНЕ
091-001,МВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-001,ОВД АДЫГЕ-ХАБЛЬСКОГО РАЙОНА КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-002,ОВД ЗЕЛЕНЧУКСКОГО РАЙОНА КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-003,КАРАЧАЕВСКИМ ГОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-004,КАРАЧАЕВСКИМ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-005,ОВД МАЛОКАРАЧАЕВСКОГО РАЙОНА КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-006,ПРИКУБАНСКИМ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-007,ТЕБЕРДИНСКИМ ГОРОДСКИМ ОМ КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-008,УРУПСКИМ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-009,УСТЬ-ДЖЕГУТИНСКИМ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
092-010,ХАБЕЗСКИМ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
093-001,ЧЕРКЕССКИМ УВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
093-002,2-Е ОМ ОВД АДМИНИСТРАЦИИ ЗЕЛЕНЧУКСКОГО РАЙОНА КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСП.
100-001,УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ
100-002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В Г. ПЕТРОЗАВОДСКЕ
100-003,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В БЕЛОМОРСКОМ РАЙОНЕ
100-004,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В КАЛЕВАЛЬСКОМ РАЙОНЕ
100-005,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В КЕМСКОМ РАЙОНЕ
100-006,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В КОНДОПОЖСКОМ РАЙОНЕ
100-007,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В Г. КОСТОМУКША
100-008,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ЛАХДЕНПОХСКОМ РАЙОНЕ
100-009,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ЛОУХСКОМ РАЙОНЕ
100-010,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В МЕДВЕЖЬЕГОРСКОМ РАЙОНЕ
100-011,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В МУЕЗЕРСКОМ РАЙОНЕ
100-012,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ОЛОНЕЦКОМ РАЙОНЕ
100-013,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ПИТКЯРАНТСКОМ РАЙОНЕ
100-014,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ПРИОНЕЖСКОМ РАЙОНЕ
100-015,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ПРЯЖИНСКОМ РАЙОНЕ
100-016,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В ПУДОЖСКОМ РАЙОНЕ
100-017,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В СЕГЕЖСКОМ РАЙОНЕ
100-018,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В Г. СОРТАВАЛА
100-019,ТП УФМС РОССИИ ПО РЕСП. КАРЕЛИЯ В СУОЯРВСКОМ РАЙОНЕ
101-001,МВД РЕСП. КАРЕЛИЯ
102-001,УВД Г. ПЕТРОЗАВОДСКА
102-002,ОВД БЕЛОМОРСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-003,ОВД ПОСЕЛКА КАЛЕВАЛА РЕСП. КАРЕЛИЯ
102-004,ОВД Г. КЕМИ РЕСП. КАРЕЛИЯ
102-005,ОВД Г. КОНДОПОГИ РЕСП. КАРЕЛИЯ
102-006,ОВД Г. КОСТОМУКШИ РЕСП. КАРЕЛИЯ
102-007,ОВД ЛАХДЕНПОХСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-008,ОВД ЛОУХСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-009,ОВД МЕДВЕЖЬЕГОРСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-010,ОВД МУЕЗЕРСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-011,ОВД ОЛОНЕЦКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-012,ОВД Г. ПИТКЯРАНТА РЕСП. КАРЕЛИЯ
102-013,ОВД ПРИОНЕЖСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-014,ОВД ПРЯЖИНСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-015,ОВД ПУДОЖСКОГО РАЙОНА РЕСП. КАРЕЛИЯ
102-016,ОВД Г. СЕГЕЖИ РЕСП. КАРЕЛИЯ
102-017,ОВД Г. СОРТАВАЛА РЕСП. КАРЕЛИЯ
102-018,ОВД СУОЯРВСКОГО РОВД РЕСП. КАРЕЛИЯ
110-001,УВД Г. СЫКТЫВКАРА
110-002,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В ЭЖВИНСКОМ РАЙОНЕ Г. СЫКТЫВКАРЕ
110-003,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. КОМИ В Г. ВОРКУТЕ
110-004,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В Г. ИНТЕ
110-005,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В Г. ПЕЧОРЕ
110-006,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. КОМИ В Г. УХТА
110-007,ТП УФМС РОССИИ ПО РЕСП. КОМИ В Г. ВУКТЫЛЕ
110-008,ТП УФМС РОССИИ ПО РЕСП. КОМИ В ИЖЕМСКОМ РАЙОНЕ
110-009,ТП УФМС РОССИИ ПО РЕСП. КОМИ В КНЯЖПОГОСТСКОМ РАЙОНЕ
110-010,ТП УФМС РОССИИ ПО РЕСП. КОМИ В КОЙГОРОДСКОМ РАЙОНЕ
110-011,ТП УФМС РОССИИ ПО РЕСП. КОМИ В КОРТКЕРОССКОМ РАЙОНЕ
110-012,ТП УФМС РОССИИ ПО РЕСП. КОМИ В ПРИЛУЗСКОМ РАЙОНЕ
110-013,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В Г. СОСНОГОРСКЕ
110-014,ТП УФМС РОССИИ ПО РЕСП. КОМИ В СЫКТЫВДИНСКОМ РАЙОНЕ
110-015,ТП УФМС РОССИИ ПО РЕСП. КОМИ В СЫСОЛЬСКОМ РАЙОНЕ
110-016,ТП УФМС РОССИИ ПО РЕСП. КОМИ В ТРОИЦКО-ПЕЧОРСКОМ РАЙОНЕ
110-017,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В УДОРСКОМ РАЙОНЕ
110-018,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В Г. УСИНСКЕ
110-019,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. КОМИ В УСТЬ-ВЫМСКОМ РАЙОНЕ
110-020,ТП УФМС РОССИИ ПО РЕСП. КОМИ В УСТЬ-КУЛОМСКОМ РАЙОНЕ
110-021,ТП УФМС РОССИИ ПО РЕСП. КОМИ В УСТЬ-ЦИЛЕМСКОМ РАЙОНЕ
110-022,ТП УФМС РОССИИ ПО РЕСП. КОМИ В ПОС. ЖЕШАРТ В УСТЬ-ВЫМСКОМ РАЙОНЕ
110-023,ТП УФМС РОССИИ ПО РЕСП. КОМИ В ПОС. МИКУНЬ В УСТЬ-ВЫМСКОМ РАЙОНЕ
110-024,ТП УФМС РОССИИ ПО РЕСП. КОМИ В ПОС. НИЖНИЙ ОДЕС В Г. СОСНОГОРСКЕ
110-025,УФМС РОССИИ ПО РЕСП. КОМИ
111-001,МВД РЕСП. КОМИ
112-001,УВД Г. СЫКТЫВКАРА РЕСП. КОМИ
112-002,ЭЖВИНСКИМ РОВД Г. СЫКТЫВКАРА
112-003,УВД Г. ВОРКУТЫ РЕСП. КОМИ
112-004,ОВД Г. ИНТЫ РЕСП. КОМИ
112-005,ОВД Г. ПЕЧОРЫ РЕСП. КОМИ
112-006,УВД Г. УХТЫ РЕСП. КОМИ
112-007,ОВД Г. ВУКТЫЛА РЕСП. КОМИ
112-008,ОВД ИЖЕМСКОГО РАЙОНА РЕСП. КОМИ
112-009,ОВД КНЯЖПОГОСТСКОГО РАЙОНА РЕСП. КОМИ
112-010,ОВД КОЙГОРОДСКОГО РАЙОНА РЕСП. КОМИ
112-011,ОВД КОРТКЕРОССКОГО РАЙОНА РЕСП. КОМИ
112-012,РОВД ПРИЛУЗСКОГО РАЙОНА РЕСП. КОМИ
112-013,ОВД Г. СОСНОГОРСКА РЕСП. КОМИ
112-014,ОВД СЫКТЫВДИНСКОГО РАЙОНА РЕСП. КОМИ
112-015,ОВД СЫСОЛЬСКОГО РАЙОНА РЕСП. КОМИ
112-016,ОВД ТРОИЦКО-ПЕЧОРСКОГО РАЙОНА РЕСП. КОМИ
112-017,ОВД УДОРСКОГО РАЙОНА РЕСП. КОМИ
112-018,ОВД Г. УСИНСКА РЕСП. КОМИ
112-019,УСТЬ-ВЫМСКИМ РОВД РЕСП. КОМИ
112-020,ОВД УСТЬ-КУЛОМСКОГО РАЙОНА РЕСП. КОМИ
112-021,ОВД УСТЬ-ЦИЛЕМСКОГО РАЙОНА РЕСП. КОМИ
113-001,ТП В ПОС. ЖЕШАРТ ОУФМС РОССИИ ПО РЕСП. КОМИ В УСТЬ-ВЫМСКОМ РАЙОНЕ
113-002,ТП В Г. МИКУНЬ ОУФМС РОССИИ ПО РЕСП. КОМИ В УСТЬ-ВЫМСКОМ РАЙОНЕ
113-003,ВОРГАШОРСКИМ ОМ УВД Г. ВОРКУТЫ РЕСП. КОМИ
113-004,СЕВЕРНЫМ ПОСЕЛКОВЫМ ОМ УВД Г. ВОРКУТЫ РЕСП. КОМИ
113-005,ВОЙВОЖСКИМ ТПМ СОСНОГОРСКОГО ГОВД РЕСП. КОМИ
113-006,НИЖНЕОДЕССКИМ ПОСЕЛКОВЫМ ОМ ОВД Г. СОСНОГОРСКА РЕСП. КОМИ
120-001,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В Г. ЙОШКАР-ОЛЕ
120-002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В Г. ВОЛЖСКЕ
120-003,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ВОЛЖСКОМ РАЙОНЕ
120-004,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ГОРНОМАРИЙСКОМ РАЙОНЕ
120-005,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ЗВЕНИГОВСКОМ РАЙОНЕ
120-006,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ПОС.КРАСНОГОРСКИЙ
120-007,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В КИЛЕМАРСКОМ РАЙОНЕ
120-008,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ПОС.ВИЗИМЬЯРЫ В КИЛЕМАРСКОМ РАЙОНЕ
120-009,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В КУЖЕНЕРСКОМ РАЙОНЕ
120-010,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ПОС. МАРИ-ТУРЕК
120-011,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ПОС. МЕДВЕДЕВО
120-012,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В МОРКИНСКОМ РАЙОНЕ
120-013,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В НОВОТОРЪЯЛЬСКОМ РАЙОНЕ
120-014,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ОРШАНСКОМ РАЙОНЕ
120-015,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ПОС. ПАРАНЬГА
120-016,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В СЕРНУРСКОМ РАЙОНЕ
120-017,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В СОВЕТСКОМ РАЙОНЕ
120-018,ТП УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В ЮРИНСКОМ РАЙОНЕ
120-019,МВД ПО РЕСП. МАРИЙ ЭЛ
120-020,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. МАРИЙ ЭЛ В Г. ЙОШКАР-ОЛЕ
121-001,МВД РЕСП. МАРИЙ ЭЛ
122-001,ЦЕНТРАЛЬНЫМ ОМ УВД Г. ЙОШКАР-ОЛЫ
122-002,ОВД Г. ВОЛЖСКА РЕСП. МАРИЙ ЭЛ
122-003,ОВД ВОЛЖСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-004,ОВД ГОРНОМАРИЙСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-005,ОВД Г. КОЗЬМОДЕМЬЯНСКА РЕСП. МАРИЙ ЭЛ
122-006,ОВД ЗВЕНИГОВСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-007,ОВД КИЛЕМАРСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-008,ОВД КУЖЕНЕРСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-009,ОВД МАРИ-ТУРЕКСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-010,ОВД МЕДВЕДЕВСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-011,ОВД МОРКИНСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-012,ОВД НОВОТОРЪЯЛЬСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-013,ОВД ОРШАНСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-014,ОВД ПАРАНЬГИНСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-015,ОВД СЕРНУРСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-016,ОВД СОВЕТСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
122-017,ОВД ЮРИНСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
123-001,ЗАВОДСКИМ ОМ УВД Г. ЙОШКАР-ОЛЫ
123-002,ЗАРЕЧНЫМ ОМ УВД Г. ЙОШКАР-ОЛЫ
123-003,КРАСНОГОРСКИМ ОМ ЗВЕНИГОВСКОГО РОВД РЕСП. МАРИЙ ЭЛ
123-004,ВИЗИМЬЯРСКИМ ОМ КИЛЕМАРСКОГО РАЙОНА РЕСП. МАРИЙ ЭЛ
130-001,УФМС ПО РЕСП. МОРДОВИЯ
130-002,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ЛЕНИНСКОМ РАЙОНЕ Г. САРАНСКА
130-003,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ПРОЛЕТАРСКОМ РАЙОНЕ Г. САРАНСКА
130-004,ТП № 1 МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В РП КОМСОМОЛЬСКИЙ ЧАМЗИНСКОГО РАЙОНА
130-005,ТП № 1 МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В КРАСНОСЛОБОДСКОМ РАЙОНЕ
130-006,ТП № 3 МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В РП КОМСОМОЛЬСКИЙ ЧАМЗИНСКОГО РАЙОНА
130-007,ТП № 2 МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В РП КОМСОМОЛЬСКИЙ ЧАМЗИНСКОГО РАЙОНА
130-008,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В БОЛЬШЕИГНАТОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-009,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ДУБЕНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-010,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ЕЛЬНИКОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-011,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ЗУБОВО-ПОЛЯНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-012,ТП № 1 МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В КОВЫЛКИНСКОМ РАЙОНЕ
130-013,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ИЧАЛКОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-014,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В КОВЫЛКИНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-015,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В КОЧКУРОВСКОМ РАЙОНЕ
130-016,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В КРАСНОСЛОБОДСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-017,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ЛЯМБИРСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-018,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В РОМОДАНОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-019,ТО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В РУЗАЕВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-020,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В СТАРОШАЙГОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-021,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ТЕМНИКОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-022,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ТЕНЬГУШЕВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-023,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ТОРБЕЕВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-024,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ЧАМЗИНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ
130-025,ТП № 1 МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В РУЗАЕВСКОМ РАЙОНЕ
130-026,УФМС ПО РЕСП. МОРДОВИЯ
130-027,МВД ПО РЕСП. МОРДОВИЯ
130-028,МВД ПО РЕСП. МОРДОВИЯ
130-029,МВД ПО РЕСП. МОРДОВИЯ
130-030,МВД ПО РЕСП. МОРДОВИЯ
130-031,ТП В ПОС. АТЯШЕВО МРО УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В ПОС.Г. Т. КОМСОМОЛЬСКИЙ
130-032,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В Г. ИНСАРЕ
130-033,ТП УФМС РОССИИ ПО РЕСП. МОРДОВИЯ В КОЧКУРОВСКОМ РАЙОНЕ
131-001,МВД РЕСП. МОРДОВИЯ
132-001,ОКТЯБРЬСКИМ РОВД Г. САРАНСКА
132-002,ОВД ЛЕНИНСКОГО РАЙОНА Г. САРАНСКА
132-003,ПРОЛЕТАРСКИМ РОВД Г. САРАНСКА
132-004,ОВД АРДАТОВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-005,ОВД АТЮРЬЕВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-006,ОВД АТЯШЕВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-007,ОВД БОЛЬШЕБЕРЕЗНИКОВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-008,ОВД БОЛЬШЕИГНАТОВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-009,ОВД ДУБЕНСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-010,ОВД ЕЛЬНИКОВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-011,ОВД ЗУБОВО-ПОЛЯНСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-012,ОВД ИНСАРСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-013,ОВД ИЧАЛКОВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-014,ОВД КОВЫЛКИНСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-015,ОВД КОЧКУРОВСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-016,ОВД КРАСНОСЛОБОДСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-017,ОВД ЛЯМБИРСКОГО РАЙОНА РЕСП. МОРДОВИЯ
132-018,РОМОДАНОВСКИМ РОВД МВД РЕСП. МОРДОВИЯ
132-019,РУЗАЕВСКИМ ГРОВД РЕСП. МОРДОВИЯ
132-020,СТАРОШАЙГОВСКИМ РОВД МВД РЕСП. МОРДОВИЯ
132-021,ТЕМНИКОВСКИМ РОВД МВД РЕСП. МОРДОВИЯ
132-022,ТЕНЬГУШЕВСКИМ РОВД МВД РЕСП. МОРДОВИЯ
132-023,ТОРБЕЕВСКИМ РОВД МВД РЕСП. МОРДОВИЯ
132-024,ЧАМЗИНСКИМ РОВД
132-025,ОВД КАДОШКИНСКОГО РАЙОНА РЕСП. МОРДОВИЯ
133-001,ШИРИНГУШСКИМ ОМ ЗУБОВО-ПОЛЯНСКОГО РАЙОНА РЕСП. МОРДОВИЯ
133-002,ЯВАССКИМ ОМ ЗУБОВО-ПОЛЯНСКОГО РОВД МВД РЕСП. МОРДОВИЯ
140-001,УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ)
140-002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В Г. ЯКУТСКЕ
140-003,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В Г. НЕРЮНГРИ
140-004,РО УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В МИРНИНСКОМ РАЙОНЕ
140-005,ТП В АЛДАНСКОМ РАЙОНЕ МРО УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ РАЙОНЕ
140-006,ТП В ЛЕНСКОМ РАЙОНЕ МРО УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В МИРНИНСКОМ РАЙОНЕ
140-007,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В АБЫЙСКОМ РАЙОНЕ
140-008,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В АНАБАРСКОМ РАЙОНЕ
140-009,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В АЛЛАИХОВСКОМ РАЙОНЕ
140-010,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В АМГИНСКОМ РАЙОНЕ
140-011,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В БУЛУНСКОМ РАЙОНЕ
140-012,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ВИЛЮЙСКОМ РАЙОНЕ
140-013,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ВЕРХНЕВИЛЮЙСКОМ РАЙОНЕ
140-014,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ВЕРХНЕКОЛЫМСКОМ РАЙОНЕ
140-015,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ВЕРХОЯНСКОМ РАЙОНЕ
140-016,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ГОРНОМ РАЙОНЕ
140-017,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ЖИГАНСКОМ РАЙОНЕ
140-018,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В КОБЯЙСКОМ РАЙОНЕ
140-019,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В МЕГИНО-КАНГАЛАССКОМ РАЙОНЕ
140-020,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В МОМСКОМ РАЙОНЕ
140-021,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В НИЖНЕКОЛЫМСКОМ РАЙОНЕ
140-022,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В НЮРБИНСКОМ РАЙОНЕ
140-023,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ОЙМЯКОНСКОМ РАЙОНЕ
140-024,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ТАТТИНСКОМ РАЙОНЕ
140-025,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В ТОМПОНСКОМ РАЙОНЕ
140-026,ТП УФМС РОССИИ ПО РЕСП. САХА (ЯКУТИЯ) В УСТЬ-АЛДАНСКОМ РАЙОНЕ
